Ubicacion,Tipo
coruna,Provincia
alava,Provincia
albacete,Provincia
alicante,Provincia
almeria,Provincia
asturias,Provincia
avila,Provincia
badajoz,Provincia
baleares,Provincia
barcelona,Provincia
burgos,Provincia
caceres,Provincia
cadiz,Provincia
cantabria,Provincia
castellon,Provincia
ceuta,Provincia
ciudad real,Provincia
cordoba,Provincia
cuenca,Provincia
girona,Provincia
granada,Provincia
guadalajara,Provincia
guipuzcoa,Provincia
huelva,Provincia
huesca,Provincia
jaen,Provincia
rioja,Provincia
palmas,Provincia
leon,Provincia
lleida,Provincia
lugo,Provincia
madrid,Provincia
malaga,Provincia
melilla,Provincia
murcia,Provincia
navarra,Provincia
ourense,Provincia
palencia,Provincia
pontevedra,Provincia
salamanca,Provincia
tenerife,Provincia
segovia,Provincia
sevilla,Provincia
soria,Provincia
tarragona,Provincia
teruel,Provincia
toledo,Provincia
valencia,Provincia
valladolid,Provincia
vizcaya,Provincia
zamora,Provincia
zaragoza,Provincia
alegria dulantzi,Municipio
amurrio,Municipio
anana,Municipio
aramaio,Municipio
arminon,Municipio
arraia maeztu,Municipio
arrazua ubarrundia,Municipio
artziniega,Municipio
asparrena,Municipio
ayala aiara,Municipio
banos ebro manueta,Municipio
barrundia,Municipio
berantevilla,Municipio
bernedo,Municipio
campezo kanpezu,Municipio
elburgo burgelu,Municipio
elciego,Municipio
elvillar bilar,Municipio
harana valle arana,Municipio
iruna iruna,Municipio
iruraiz gauna,Municipio
kripan,Municipio
kuartango,Municipio
labastida,Municipio
lagran,Municipio
laguardia,Municipio
lanciego lantziego,Municipio
lantaron,Municipio
lapuebla labarca,Municipio
laudio llodio,Municipio
legutiano,Municipio
leza,Municipio
moreda alava,Municipio
navaridas,Municipio
okondo,Municipio
oyon oion,Municipio
penacerrada urizaharra,Municipio
ribera alta,Municipio
ribera baja erribera beitia,Municipio
salvatierra agurain,Municipio
samaniego,Municipio
millan donemiliaga,Municipio
urkabustaiz,Municipio
valdegovia,Municipio
villabuena alava eskuernaga,Municipio
vitoria gasteiz,Municipio
yecora iekora,Municipio
zalduondo,Municipio
zambrana,Municipio
zigoitia,Municipio
zuia,Municipio
abengibre,Municipio
alatoz,Municipio
albacete,Municipio
albatana,Municipio
alborea,Municipio
alcadozo,Municipio
alcala jucar,Municipio
alcaraz,Municipio
almansa,Municipio
alpera,Municipio
ayna,Municipio
balazote,Municipio
ballestero,Municipio
balsa,Municipio
barrax,Municipio
bienservida,Municipio
bogarra,Municipio
bonete,Municipio
bonillo,Municipio
carcelen,Municipio
casas juan nunez,Municipio
casas lazaro,Municipio
casas,Municipio
casas ibanez,Municipio
caudete,Municipio
cenizate,Municipio
chinchilla monte aragon,Municipio
corral rubio,Municipio
cotillas,Municipio
elche sierra,Municipio
ferez,Municipio
fuensanta,Municipio
fuente alamo,Municipio
fuentealbilla,Municipio
gineta,Municipio
golosalvo,Municipio
hellin,Municipio
herrera,Municipio
higueruela,Municipio
hoya gonzalo,Municipio
jorquera,Municipio
letur,Municipio
lezuza,Municipio
lietor,Municipio
madrigueras,Municipio
mahora,Municipio
masegoso,Municipio
minaya,Municipio
molinicos,Municipio
montalvos,Municipio
montealegre castillo,Municipio
motilleja,Municipio
munera,Municipio
navas jorquera,Municipio
nerpio,Municipio
ontur,Municipio
ossa montiel,Municipio
paterna madera,Municipio
penas pedro,Municipio
penascosa,Municipio
petrola,Municipio
povedilla,Municipio
pozo canada,Municipio
pozohondo,Municipio
pozo lorente,Municipio
pozuelo,Municipio
recueja,Municipio
riopar,Municipio
robledo,Municipio
roda,Municipio
salobre,Municipio
pedro,Municipio
socovos,Municipio
tarazona mancha,Municipio
tobarra,Municipio
valdeganga,Municipio
vianos,Municipio
villa,Municipio
villalgordo jucar,Municipio
villamalea,Municipio
villapalacios,Municipio
villarrobledo,Municipio
villatoya,Municipio
villavaliente,Municipio
villaverde guadalimar,Municipio
viveros,Municipio
yeste,Municipio
adsubia,Municipio
agost,Municipio
agres,Municipio
aigues,Municipio
albatera,Municipio
alcalali,Municipio
alcocer planes,Municipio
alcoleja,Municipio
alcoy,Municipio
alfafara,Municipio
alfaz,Municipio
algorfa,Municipio
alguena,Municipio
alicante,Municipio
almoradi,Municipio
almudaina,Municipio
alqueria,Municipio
altea,Municipio
aspe,Municipio
balones,Municipio
banyeres mariola,Municipio
benasau,Municipio
beneixama,Municipio
benejuzar,Municipio
benferri,Municipio
beniarbeig,Municipio
beniarda,Municipio
beniarres,Municipio
benidoleig,Municipio
benidorm,Municipio
benifallim,Municipio
benifato,Municipio
benigembla,Municipio
benijofar,Municipio
benilloba,Municipio
benillup,Municipio
benimantell,Municipio
benimarfull,Municipio
benimassot,Municipio
benimeli,Municipio
benissa,Municipio
benitachell,Municipio
biar,Municipio
bigastro,Municipio
bolulla,Municipio
busot,Municipio
callosa segura,Municipio
callosa sarria,Municipio
calpe,Municipio
campello,Municipio
campo mirra,Municipio
canada,Municipio
castalla,Municipio
castell castells,Municipio
castell guadalest,Municipio
catral,Municipio
cocentaina,Municipio
confrides,Municipio
,Municipio
crevillent,Municipio
daya,Municipio
daya vieja,Municipio
denia,Municipio
dolores,Municipio
elche,Municipio
elda,Municipio
facheca,Municipio
famorca,Municipio
finestrat,Municipio
fondo neus,Municipio
formentera segura,Municipio
gaianes,Municipio
gata gorgos,Municipio
gorga,Municipio
granja rocamora,Municipio
guardamar segura,Municipio
hondon frailes,Municipio
,Municipio
jacarilla,Municipio
jalon,Municipio
javea,Municipio
jijona,Municipio
lliber,Municipio
lorcha,Municipio
millena,Municipio
monforte,Municipio
monovar,Municipio
montesinos,Municipio
murla,Municipio
muro alcoy,Municipio
mutxamel,Municipio
novelda,Municipio
nucia,Municipio
ondara,Municipio
onil,Municipio
orba,Municipio
orihuela,Municipio
orxeta,Municipio
parcent,Municipio
pedreguer,Municipio
pego,Municipio
penaguila,Municipio
petrer,Municipio
pilar horadada,Municipio
pinoso,Municipio
planes,Municipio
poblets,Municipio
polop,Municipio
quatretondeta,Municipio
rafal,Municipio
rafol,Municipio
redovan,Municipio
relleu,Municipio
rojales,Municipio
romana,Municipio
sagra,Municipio
salinas,Municipio
fulgencio,Municipio
isidro,Municipio
miguel salinas,Municipio
vicente raspeig,Municipio
sanet negrals,Municipio
sant joan,Municipio
santa pola,Municipio
,Municipio
sella,Municipio
senija,Municipio
tarbena,Municipio
teulada,Municipio
tibi,Municipio
tollos,Municipio
tormos,Municipio
torremanzanas,Municipio
torrevieja,Municipio
vall,Municipio
vall,Municipio
vall gallinera,Municipio
vall laguar,Municipio
verger,Municipio
villajoyosa,Municipio
villena,Municipio
abla,Municipio
abrucena,Municipio
adra,Municipio
albanchez,Municipio
alboloduy,Municipio
albox,Municipio
alcolea,Municipio
alcontar,Municipio
alcudia monteagud,Municipio
alhabia,Municipio
alhama almeria,Municipio
alicun,Municipio
almeria,Municipio
almocita,Municipio
alsodux,Municipio
antas,Municipio
arboleas,Municipio
armuna almanzora,Municipio
bacares,Municipio
bayarcal,Municipio
bayarque,Municipio
bedar,Municipio
beires,Municipio
benahadux,Municipio
benitagla,Municipio
benizalon,Municipio
bentarique,Municipio
berja,Municipio
canjayar,Municipio
cantoria,Municipio
carboneras,Municipio
castro filabres,Municipio
chercos,Municipio
chirivel,Municipio
cobdar,Municipio
cuevas almanzora,Municipio
dalias,Municipio
ejido,Municipio
enix,Municipio
felix,Municipio
fines,Municipio
finana,Municipio
fondon,Municipio
gador,Municipio
gallardos,Municipio
garrucha,Municipio
gergal,Municipio
huecija,Municipio
huercal almeria,Municipio
huercal overa,Municipio
illar,Municipio
instincion,Municipio
laroya,Municipio
laujar andarax,Municipio
lijar,Municipio
lubrin,Municipio
lucainena torres,Municipio
lucar,Municipio
macael,Municipio
maria,Municipio
mojacar,Municipio
mojonera,Municipio
nacimiento,Municipio
nijar,Municipio
ohanes,Municipio
olula castro,Municipio
olula,Municipio
oria,Municipio
padules,Municipio
partaloa,Municipio
paterna,Municipio
pechina,Municipio
pulpi,Municipio
purchena,Municipio
ragol,Municipio
rioja,Municipio
roquetas,Municipio
santa cruz marchena,Municipio
santa mondujar,Municipio
senes,Municipio
seron,Municipio
sierro,Municipio
somontin,Municipio
sorbas,Municipio
sufli,Municipio
tabernas,Municipio
taberno,Municipio
tahal,Municipio
terque,Municipio
tijola,Municipio
villas,Municipio
turre,Municipio
turrillas,Municipio
uleila campo,Municipio
urracal,Municipio
velefique,Municipio
velez blanco,Municipio
velez rubio,Municipio
vera,Municipio
viator,Municipio
vicar,Municipio
zurgena,Municipio
adanero,Municipio
adrada,Municipio
albornos,Municipio
aldeanueva santa cruz,Municipio
aldeaseca,Municipio
aldehuela,Municipio
amavida,Municipio
arenal,Municipio
arenas pedro,Municipio
arevalillo,Municipio
arevalo,Municipio
aveinte,Municipio
avellaneda,Municipio
avila,Municipio
barco avila,Municipio
barraco,Municipio
barroman,Municipio
becedas,Municipio
becedillas,Municipio
bercial zapardiel,Municipio
berlanas,Municipio
bernuy zapardiel,Municipio
berrocalejo aragona,Municipio
blascomillan,Municipio
blasconuno matacabras,Municipio
blascosancho,Municipio
bohodon,Municipio
bohoyo,Municipio
bonilla sierra,Municipio
brabos,Municipio
bularros,Municipio
burgohondo,Municipio
cabezas alambre,Municipio
cabezas pozo,Municipio
cabezas villar,Municipio
cabizuela,Municipio
canales,Municipio
candeleda,Municipio
cantiveros,Municipio
cardenosa,Municipio
carrera,Municipio
casas puerto,Municipio
casasola,Municipio
casavieja,Municipio
casillas,Municipio
castellanos zapardiel,Municipio
cebreros,Municipio
cepeda mora,Municipio
chamartin,Municipio
cillan,Municipio
cisla,Municipio
colilla,Municipio
collado contreras,Municipio
collado miron,Municipio
constanzana,Municipio
crespos,Municipio
cuevas valle,Municipio
diego carpio,Municipio
donjimeno,Municipio
donvidas,Municipio
espinosa caballeros,Municipio
flores avila,Municipio
fontiveros,Municipio
fresnedilla,Municipio
fresno,Municipio
fuente sauz,Municipio
fuentes,Municipio
gallegos altamiros,Municipio
gallegos sobrinos,Municipio
garganta villar,Municipio
gavilanes,Municipio
gemuno,Municipio
garcia,Municipio
gilbuena,Municipio
gimialcon,Municipio
gotarrendura,Municipio
martin,Municipio
guisando,Municipio
gutierre munoz,Municipio
hernansancho,Municipio
herradon pinares,Municipio
herreros suso,Municipio
higuera duenas,Municipio
hija dios,Municipio
horcajada,Municipio
horcajo torres,Municipio
hornillo,Municipio
hoyo pinares,Municipio
hoyocasero,Municipio
hoyorredondo,Municipio
hoyos miguel munoz,Municipio
hoyos collado,Municipio
hoyos espino,Municipio
hurtumpascual,Municipio
junciana,Municipio
langa,Municipio
lanzahita,Municipio
llanos tormes,Municipio
losar barco,Municipio
madrigal altas torres,Municipio
maello,Municipio
malpartida corneja,Municipio
mamblas,Municipio
mancera,Municipio
manjabalago,Municipio
marlin,Municipio
martiherrero,Municipio
martinez,Municipio
mediana voltoya,Municipio
medinilla,Municipio
mengamunoz,Municipio
mesegar corneja,Municipio
mijares,Municipio
mingorria,Municipio
miron,Municipio
mironcillo,Municipio
miruena infanzones,Municipio
mombeltran,Municipio
monsalupe,Municipio
moraleja matacabras,Municipio
munana,Municipio
munico,Municipio
munogalindo,Municipio
munogrande,Municipio
munomer peco,Municipio
munopepe,Municipio
munosancho,Municipio
munotello,Municipio
narrillos alamo,Municipio
narrillos rebollar,Municipio
narros salduena,Municipio
narros castillo,Municipio
narros puerto,Municipio
nava arevalo,Municipio
nava barco,Municipio
navacepedilla corneja,Municipio
navadijos,Municipio
navaescurial,Municipio
navahondilla,Municipio
navalacruz,Municipio
navalmoral,Municipio
navalonguilla,Municipio
navalosa,Municipio
navalperal pinares,Municipio
navalperal tormes,Municipio
navaluenga,Municipio
navaquesera,Municipio
navarredonda gredos,Municipio
navarredondilla,Municipio
navarrevisca,Municipio
navas marques,Municipio
navatalgordo,Municipio
navatejares,Municipio
neila miguel,Municipio
niharra,Municipio
ojos albos,Municipio
orbita,Municipio
,Municipio
padiernos,Municipio
pajares adaja,Municipio
palacios goda,Municipio
papatrigo,Municipio
parral,Municipio
pascualcobo,Municipio
pedro bernardo,Municipio
pedro rodriguez,Municipio
peguerinos,Municipio
penalba avila,Municipio
piedrahita,Municipio
piedralaves,Municipio
poveda,Municipio
poyales hoyo,Municipio
pozanco,Municipio
pradosegar,Municipio
puerto castilla,Municipio
rasueros,Municipio
riocabado,Municipio
riofrio,Municipio
rivilla barajas,Municipio
salobral,Municipio
salvadios,Municipio
bartolome bejar,Municipio
bartolome corneja,Municipio
bartolome pinares,Municipio
esteban patos,Municipio
esteban zapardiel,Municipio
esteban valle,Municipio
garcia ingelmos,Municipio
juan gredos,Municipio
juan encinilla,Municipio
juan nava,Municipio
juan molinillo,Municipio
juan olmo,Municipio
lorenzo tormes,Municipio
martin vega alberche,Municipio
martin pimpollar,Municipio
miguel corneja,Municipio
miguel serrezuela,Municipio
pascual,Municipio
pedro arroyo,Municipio
vicente arevalo,Municipio
sanchidrian,Municipio
sanchorreja,Municipio
santa cruz pinares,Municipio
santa cruz valle,Municipio
santa maria caballeros,Municipio
santa maria arroyo,Municipio
santa maria berrocal,Municipio
santa maria cubillo,Municipio
santa maria tietar,Municipio
santiago collado,Municipio
santiago tormes,Municipio
santo domingo posadas,Municipio
santo tome zabarcos,Municipio
serrada,Municipio
serranillos,Municipio
sigeres,Municipio
sinlabajos,Municipio
solana avila,Municipio
solana rioalmar,Municipio
solosancho,Municipio
sotalbo,Municipio
sotillo adrada,Municipio
tiemblo,Municipio
tinosillos,Municipio
tolbanos,Municipio
tormellas,Municipio
tornadizos avila,Municipio
torre,Municipio
tortoles,Municipio
umbrias,Municipio
vadillo sierra,Municipio
valdecasa,Municipio
vega santa maria,Municipio
velayos,Municipio
villaflor,Municipio
villafranca sierra,Municipio
villanueva avila,Municipio
villanueva gomez,Municipio
villanueva aceral,Municipio
villanueva campillo,Municipio
villar corneja,Municipio
villarejo valle,Municipio
villatoro,Municipio
vinegra morana,Municipio
vita,Municipio
zapardiel canada,Municipio
zapardiel ribera,Municipio
acedera,Municipio
aceuchal,Municipio
ahillones,Municipio
alange,Municipio
albuera,Municipio
alburquerque,Municipio
alconchel,Municipio
alconera,Municipio
aljucen,Municipio
almendral,Municipio
almendralejo,Municipio
arroyo servan,Municipio
atalaya,Municipio
azuaga,Municipio
badajoz,Municipio
barcarrota,Municipio
baterno,Municipio
benquerencia serena,Municipio
berlanga,Municipio
bienvenida,Municipio
bodonal sierra,Municipio
burguillos cerro,Municipio
cabeza buey,Municipio
cabeza vaca,Municipio
calamonte,Municipio
calera leon,Municipio
calzadilla barros,Municipio
campanario,Municipio
campillo llerena,Municipio
capilla,Municipio
carmonita,Municipio
carrascalejo,Municipio
casas pedro,Municipio
casas reina,Municipio
castilblanco,Municipio
castuera,Municipio
cheles,Municipio
codosera,Municipio
cordobilla lacara,Municipio
coronada,Municipio
corte peleas,Municipio
cristina,Municipio
alvaro,Municipio
benito,Municipio
entrin,Municipio
esparragalejo,Municipio
esparragosa serena,Municipio
esparragosa lares,Municipio
feria,Municipio
fregenal sierra,Municipio
fuenlabrada montes,Municipio
fuente cantos,Municipio
fuente arco,Municipio
fuente maestre,Municipio
fuentes leon,Municipio
garbayuela,Municipio
garlitos,Municipio
garrovilla,Municipio
granja torrehermosa,Municipio
guarena,Municipio
haba,Municipio
helechosa montes,Municipio
herrera duque,Municipio
higuera serena,Municipio
higuera llerena,Municipio
higuera vargas,Municipio
higuera real,Municipio
hinojosa valle,Municipio
hornachos,Municipio
jerez caballeros,Municipio
lapa,Municipio
llera,Municipio
llerena,Municipio
lobon,Municipio
magacela,Municipio
maguilla,Municipio
malcocinado,Municipio
malpartida serena,Municipio
manchita,Municipio
medellin,Municipio
medina torres,Municipio
mengabril,Municipio
merida,Municipio
mirandilla,Municipio
monesterio,Municipio
montemolin,Municipio
monterrubio serena,Municipio
montijo,Municipio
morera,Municipio
nava santiago,Municipio
navalvillar pela,Municipio
nogales,Municipio
oliva frontera,Municipio
oliva merida,Municipio
olivenza,Municipio
orellana sierra,Municipio
orellana vieja,Municipio
palomas,Municipio
parra,Municipio
penalsordo,Municipio
peraleda zaucejo,Municipio
puebla alcocer,Municipio
puebla calzada,Municipio
puebla reina,Municipio
puebla obando,Municipio
puebla sancho perez,Municipio
puebla maestre,Municipio
puebla prior,Municipio
pueblonuevo guadiana,Municipio
quintana serena,Municipio
reina,Municipio
rena,Municipio
retamal llerena,Municipio
ribera fresno,Municipio
risco,Municipio
roca sierra,Municipio
salvaleon,Municipio
salvatierra barros,Municipio
pedro merida,Municipio
vicente alcantara,Municipio
sancti spiritus,Municipio
santa amalia,Municipio
santa marta,Municipio
santos maimona,Municipio
segura leon,Municipio
siruela,Municipio
solana barros,Municipio
talarrubias,Municipio
talavera real,Municipio
taliga,Municipio
tamurejo,Municipio
torre miguel sesmero,Municipio
torremayor,Municipio
torremejia,Municipio
trasierra,Municipio
trujillanos,Municipio
usagre,Municipio
valdecaballeros,Municipio
valdelacalzada,Municipio
valdetorres,Municipio
valencia torres,Municipio
valencia mombuey,Municipio
valencia ventoso,Municipio
valle serena,Municipio
valle matamoros,Municipio
valle santa,Municipio
valverde burguillos,Municipio
valverde leganes,Municipio
valverde llerena,Municipio
valverde merida,Municipio
villafranca barros,Municipio
villagarcia torre,Municipio
villagonzalo,Municipio
villalba barros,Municipio
villanueva serena,Municipio
villanueva fresno,Municipio
villar rena,Municipio
villar,Municipio
villarta montes,Municipio
zafra,Municipio
zahinos,Municipio
zalamea serena,Municipio
zarza,Municipio
zarza capilla,Municipio
alaior,Municipio
alaro,Municipio
alcudia,Municipio
algaida,Municipio
andratx,Municipio
ariany,Municipio
arta,Municipio
banyalbufar,Municipio
binissalem,Municipio
buger,Municipio
bunyola,Municipio
calvia,Municipio
campanet,Municipio
